Simbolo,Fecha,Apertura,Cierre,Maximo,Minimo
MSFT,2024-01-02 05:00:00,373.86,370.87,375.9,366.771
MSFT,2024-01-03 05:00:00,369.01,370.6,373.2562,368.51
MSFT,2024-01-04 05:00:00,370.665,367.94,373.1,367.17
MSFT,2024-01-05 05:00:00,368.97,367.75,372.06,366.5
MSFT,2024-01-08 05:00:00,369.3,374.69,375.2,369.01
MSFT,2024-01-09 05:00:00,372.01,375.79,375.99,371.19
MSFT,2024-01-10 05:00:00,376.37,382.77,384.17,376.32
MSFT,2024-01-11 05:00:00,386.0,384.63,390.68,380.38
MSFT,2024-01-12 05:00:00,385.49,388.47,388.68,384.65
MSFT,2024-01-16 05:00:00,393.66,390.27,394.03,387.6229
MSFT,2024-01-17 05:00:00,387.98,389.47,390.11,384.81
MSFT,2024-01-18 05:00:00,391.72,393.87,393.99,390.12
MSFT,2024-01-19 05:00:00,395.76,398.67,398.67,393.5
MSFT,2024-01-22 05:00:00,400.02,396.51,400.62,393.59
MSFT,2024-01-23 05:00:00,395.75,398.9,399.38,393.93
MSFT,2024-01-24 05:00:00,401.54,402.56,405.63,400.45
MSFT,2024-01-25 05:00:00,404.32,404.87,407.01,402.5294
MSFT,2024-01-26 05:00:00,404.37,403.93,406.17,402.43
MSFT,2024-01-29 05:00:00,406.06,409.72,409.98,404.33
MSFT,2024-01-30 05:00:00,412.26,408.59,413.05,406.4501
MSFT,2024-01-31 05:00:00,406.96,397.58,415.32,397.21
MSFT,2024-02-01 05:00:00,401.83,403.78,408.0,401.8
MSFT,2024-02-02 05:00:00,403.81,411.22,412.65,403.56
MSFT,2024-02-05 05:00:00,409.9,405.65,411.16,403.99
MSFT,2024-02-06 05:00:00,405.88,405.49,407.97,402.91
MSFT,2024-02-07 05:00:00,407.44,414.05,414.3,407.4
MSFT,2024-02-08 05:00:00,414.05,414.11,415.56,412.53
MSFT,2024-02-09 05:00:00,415.25,420.55,420.82,415.09
MSFT,2024-02-12 05:00:00,420.555,415.26,420.74,414.75
MSFT,2024-02-13 05:00:00,404.94,406.32,410.071,403.39
MSFT,2024-02-14 05:00:00,408.07,409.49,409.84,404.57
MSFT,2024-02-15 05:00:00,408.14,406.56,409.13,404.29
MSFT,2024-02-16 05:00:00,407.96,404.06,408.29,403.44
MSFT,2024-02-20 05:00:00,403.24,402.79,404.49,398.01
MSFT,2024-02-21 05:00:00,400.17,402.18,402.29,397.22
MSFT,2024-02-22 05:00:00,410.19,411.65,412.83,408.57
MSFT,2024-02-23 05:00:00,415.67,410.34,415.86,408.97
MSFT,2024-02-26 05:00:00,411.455,407.54,412.16,407.36
MSFT,2024-02-27 05:00:00,407.99,407.48,408.32,403.85
MSFT,2024-02-28 05:00:00,408.175,407.72,409.3,405.3201
MSFT,2024-02-29 05:00:00,408.64,413.64,414.2,405.92
MSFT,2024-03-01 05:00:00,411.27,415.5,415.87,410.88
MSFT,2024-03-04 05:00:00,413.44,414.92,417.35,412.32
MSFT,2024-03-05 05:00:00,413.96,402.65,414.25,400.64
MSFT,2024-03-06 05:00:00,402.97,402.09,405.16,398.39
MSFT,2024-03-07 05:00:00,406.12,409.14,409.78,402.24
MSFT,2024-03-08 05:00:00,407.96,406.22,410.42,404.33
MSFT,2024-03-11 04:00:00,403.762,404.52,405.68,401.26
MSFT,2024-03-12 04:00:00,407.62,415.28,415.57,406.79
MSFT,2024-03-13 04:00:00,418.1,415.1,418.18,411.45
MSFT,2024-03-14 04:00:00,420.24,425.22,427.82,417.99
MSFT,2024-03-15 04:00:00,419.29,416.42,422.6,412.79
MSFT,2024-03-18 04:00:00,414.25,417.32,420.73,413.78
MSFT,2024-03-19 04:00:00,417.83,421.41,421.6656,415.55
MSFT,2024-03-20 04:00:00,422.0,425.23,425.96,420.66
MSFT,2024-03-21 04:00:00,429.83,429.37,430.82,427.16
MSFT,2024-03-22 04:00:00,429.7,428.74,429.86,426.07
MSFT,2024-03-25 04:00:00,425.24,422.86,427.41,421.61
MSFT,2024-03-26 04:00:00,425.61,421.65,425.99,421.35
MSFT,2024-03-27 04:00:00,424.44,421.43,424.45,419.01
MSFT,2024-03-28 04:00:00,420.96,420.72,421.87,419.12
MSFT,2024-04-01 04:00:00,423.95,424.57,427.89,422.22
MSFT,2024-04-02 04:00:00,420.11,421.44,422.38,417.84
MSFT,2024-04-03 04:00:00,419.73,420.45,423.26,419.085
MSFT,2024-04-04 04:00:00,424.99,417.88,428.67,417.57
MSFT,2024-04-05 04:00:00,420.01,425.52,426.51,418.32
MSFT,2024-04-08 04:00:00,425.17,424.59,427.28,423.3
MSFT,2024-04-09 04:00:00,426.44,426.28,427.74,421.62
MSFT,2024-04-10 04:00:00,422.19,423.26,424.03,419.7
MSFT,2024-04-11 04:00:00,425.82,427.93,429.37,422.36
MSFT,2024-04-12 04:00:00,424.05,421.9,425.1794,419.77
MSFT,2024-04-15 04:00:00,426.6,413.64,426.82,413.43
MSFT,2024-04-16 04:00:00,414.57,414.58,418.4,413.7301
MSFT,2024-04-17 04:00:00,417.25,411.84,418.88,410.33
MSFT,2024-04-18 04:00:00,410.63,404.27,411.89,403.95
MSFT,2024-04-19 04:00:00,404.03,399.12,405.48,397.77
MSFT,2024-04-22 04:00:00,400.08,400.96,402.85,395.75
MSFT,2024-04-23 04:00:00,404.235,407.57,408.2,403.06
MSFT,2024-04-24 04:00:00,409.56,409.06,412.47,406.78
MSFT,2024-04-25 04:00:00,394.03,399.04,399.8899,388.03
MSFT,2024-04-26 04:00:00,412.17,406.32,413.0,405.7601
MSFT,2024-04-29 04:00:00,405.25,402.25,406.32,399.19
MSFT,2024-04-30 04:00:00,401.49,389.33,402.16,389.17
MSFT,2024-05-01 04:00:00,392.61,394.94,401.7199,390.31
MSFT,2024-05-02 04:00:00,397.66,397.84,399.93,394.6515
MSFT,2024-05-03 04:00:00,402.28,406.66,407.15,401.86
MSFT,2024-05-06 04:00:00,408.76,413.54,413.93,406.3701
MSFT,2024-05-07 04:00:00,414.66,409.34,414.67,409.09
MSFT,2024-05-08 04:00:00,408.17,410.54,412.23,406.7132
MSFT,2024-05-09 04:00:00,410.57,412.32,412.72,409.1
MSFT,2024-05-10 04:00:00,412.935,414.74,415.38,411.8
MSFT,2024-05-13 04:00:00,418.01,413.72,418.348,410.82
MSFT,2024-05-14 04:00:00,412.02,416.56,417.49,411.55
MSFT,2024-05-15 04:00:00,417.9,423.08,423.81,417.27
MSFT,2024-05-16 04:00:00,421.8,420.99,425.42,420.35
MSFT,2024-05-17 04:00:00,422.54,420.21,422.92,418.025
MSFT,2024-05-20 04:00:00,420.21,425.34,426.77,419.99
MSFT,2024-05-21 04:00:00,426.825,429.04,432.97,424.85
MSFT,2024-05-22 04:00:00,430.09,430.52,432.41,427.13
MSFT,2024-05-23 04:00:00,432.97,427.0,433.6,425.424
MSFT,2024-05-24 04:00:00,427.19,430.16,431.055,424.41
MSFT,2024-05-28 04:00:00,429.63,430.32,430.82,426.6
MSFT,2024-05-29 04:00:00,425.69,429.17,430.94,425.69
MSFT,2024-05-30 04:00:00,424.3,414.67,424.3,414.24
MSFT,2024-05-31 04:00:00,416.75,415.13,416.75,404.51
MSFT,2024-06-03 04:00:00,415.525,413.52,416.43,408.9234
MSFT,2024-06-04 04:00:00,412.43,416.07,416.44,409.675
MSFT,2024-06-05 04:00:00,417.81,424.01,424.08,416.3
MSFT,2024-06-06 04:00:00,424.01,424.52,425.31,420.58
MSFT,2024-06-07 04:00:00,426.2,423.85,426.28,423.0
MSFT,2024-06-10 04:00:00,424.7,427.87,428.08,423.89
MSFT,2024-06-11 04:00:00,425.475,432.68,432.82,425.25
MSFT,2024-06-12 04:00:00,435.32,441.06,443.4,433.25
MSFT,2024-06-13 04:00:00,440.85,441.58,443.39,439.37
MSFT,2024-06-14 04:00:00,438.275,442.57,443.1376,436.721
MSFT,2024-06-17 04:00:00,442.585,448.37,450.94,440.72
MSFT,2024-06-18 04:00:00,449.705,446.34,450.14,444.89
MSFT,2024-06-20 04:00:00,446.3,445.7,446.53,441.27
MSFT,2024-06-21 04:00:00,447.38,449.78,450.58,446.51
MSFT,2024-06-24 04:00:00,449.8,447.67,452.75,446.41
MSFT,2024-06-25 04:00:00,448.25,450.95,451.42,446.75
MSFT,2024-06-26 04:00:00,449.0,452.16,453.6,448.19
MSFT,2024-06-27 04:00:00,452.175,452.85,456.17,451.77
MSFT,2024-06-28 04:00:00,453.07,446.95,455.38,446.41
MSFT,2024-07-01 04:00:00,448.66,456.73,457.37,445.66
MSFT,2024-07-02 04:00:00,453.2,459.28,459.59,453.113
MSFT,2024-07-03 04:00:00,458.19,460.77,461.02,457.88
MSFT,2024-07-05 04:00:00,459.61,467.56,468.35,458.965
MSFT,2024-07-08 04:00:00,466.55,466.24,467.7,464.46
MSFT,2024-07-09 04:00:00,467.0,459.54,467.33,458.0
MSFT,2024-07-10 04:00:00,461.22,466.25,466.46,458.855
MSFT,2024-07-11 04:00:00,462.98,454.7,464.78,451.55
MSFT,2024-07-12 04:00:00,454.325,453.55,456.36,450.645
MSFT,2024-07-15 04:00:00,453.3,453.96,457.26,451.43
MSFT,2024-07-16 04:00:00,454.22,449.52,454.3,446.66
MSFT,2024-07-17 04:00:00,442.59,443.52,444.85,439.18
MSFT,2024-07-18 04:00:00,444.34,440.37,444.65,434.4
MSFT,2024-07-19 04:00:00,433.1,437.11,441.14,432.0
MSFT,2024-07-22 04:00:00,441.79,442.94,444.6,438.9125
MSFT,2024-07-23 04:00:00,443.895,444.85,448.39,443.1
MSFT,2024-07-24 04:00:00,440.45,428.9,441.48,427.585
MSFT,2024-07-25 04:00:00,428.8,418.4,429.8,417.51
MSFT,2024-07-26 04:00:00,418.2,425.27,428.915,417.27
MSFT,2024-07-29 04:00:00,431.58,426.73,432.15,424.7042
MSFT,2024-07-30 04:00:00,427.72,422.92,429.05,417.36
MSFT,2024-07-31 04:00:00,420.495,418.35,421.775,412.21
MSFT,2024-08-01 04:00:00,420.785,417.11,427.46,413.0901
MSFT,2024-08-02 04:00:00,412.49,408.49,415.0,404.34
MSFT,2024-08-05 04:00:00,389.17,395.15,401.04,385.58
MSFT,2024-08-06 04:00:00,400.0,399.61,405.67,398.5
MSFT,2024-08-07 04:00:00,408.635,398.43,410.08,397.47
MSFT,2024-08-08 04:00:00,402.44,402.69,405.86,399.9407
MSFT,2024-08-09 04:00:00,404.03,406.02,408.05,402.2624
MSFT,2024-08-12 04:00:00,407.06,406.81,408.76,404.2434
MSFT,2024-08-13 04:00:00,409.59,414.01,414.95,409.57
MSFT,2024-08-14 04:00:00,414.8,416.86,417.72,412.4456
MSFT,2024-08-15 04:00:00,419.8,421.03,421.11,417.66
MSFT,2024-08-16 04:00:00,420.6,418.47,421.34,417.3
MSFT,2024-08-19 04:00:00,418.96,421.53,421.75,416.46
MSFT,2024-08-20 04:00:00,421.7,424.8,425.86,421.64
MSFT,2024-08-21 04:00:00,424.075,424.14,426.4,421.72
MSFT,2024-08-22 04:00:00,424.36,415.55,426.7899,414.61
MSFT,2024-08-23 04:00:00,416.98,416.79,419.26,412.09
MSFT,2024-08-26 04:00:00,416.365,413.49,417.2799,411.34
MSFT,2024-08-27 04:00:00,412.86,413.84,414.36,410.25
MSFT,2024-08-28 04:00:00,414.88,410.6,415.0,407.31
MSFT,2024-08-29 04:00:00,414.94,413.12,422.05,410.6
MSFT,2024-08-30 04:00:00,415.6,417.14,417.49,412.13
MSFT,2024-09-03 04:00:00,417.91,409.44,419.88,407.03
MSFT,2024-09-04 04:00:00,405.91,408.9,411.24,404.37
MSFT,2024-09-05 04:00:00,407.62,408.39,413.1,406.13
MSFT,2024-09-06 04:00:00,409.06,401.7,410.65,400.8
MSFT,2024-09-09 04:00:00,407.24,405.72,408.65,402.15
MSFT,2024-09-10 04:00:00,408.2,414.2,416.33,407.7
MSFT,2024-09-11 04:00:00,415.5,423.04,423.99,409.58
MSFT,2024-09-12 04:00:00,423.31,427.0,427.3692,419.75
MSFT,2024-09-13 04:00:00,425.825,430.59,431.83,425.46
MSFT,2024-09-16 04:00:00,430.6,431.34,433.53,428.22
MSFT,2024-09-17 04:00:00,440.23,435.15,441.85,432.27
MSFT,2024-09-18 04:00:00,435.0,430.81,436.03,430.41
MSFT,2024-09-19 04:00:00,441.225,438.69,441.5,436.9
MSFT,2024-09-20 04:00:00,437.22,435.27,439.24,434.22
MSFT,2024-09-23 04:00:00,434.28,433.51,436.46,430.3889
MSFT,2024-09-24 04:00:00,433.0,429.17,433.35,426.1
MSFT,2024-09-25 04:00:00,429.83,432.11,433.119,428.57
MSFT,2024-09-26 04:00:00,435.085,431.31,435.3,429.13
MSFT,2024-09-27 04:00:00,431.52,428.02,431.85,427.47
MSFT,2024-09-30 04:00:00,428.21,430.3,430.42,425.37
MSFT,2024-10-01 04:00:00,428.45,420.69,428.48,418.81
MSFT,2024-10-02 04:00:00,422.58,417.13,422.82,416.71
MSFT,2024-10-03 04:00:00,417.63,416.54,419.55,414.29
MSFT,2024-10-04 04:00:00,418.24,416.06,419.75,414.97
MSFT,2024-10-07 04:00:00,416.0,409.54,417.11,409.0
MSFT,2024-10-08 04:00:00,410.9,414.71,415.66,408.17
MSFT,2024-10-09 04:00:00,415.86,417.46,420.38,414.3
MSFT,2024-10-10 04:00:00,415.225,415.84,417.35,413.15
MSFT,2024-10-11 04:00:00,416.135,416.32,417.13,413.25
MSFT,2024-10-14 04:00:00,417.77,419.14,424.04,417.52
MSFT,2024-10-15 04:00:00,422.18,418.74,422.48,415.26
MSFT,2024-10-16 04:00:00,415.17,416.12,416.36,410.48
MSFT,2024-10-17 04:00:00,422.36,416.72,422.5,415.59
MSFT,2024-10-18 04:00:00,417.14,418.16,419.65,416.2601
MSFT,2024-10-21 04:00:00,416.12,418.78,418.96,413.7501
MSFT,2024-10-22 04:00:00,418.49,427.51,430.5793,418.04
MSFT,2024-10-23 04:00:00,430.855,424.6,431.08,422.53
MSFT,2024-10-24 04:00:00,425.325,424.73,425.9782,422.4
MSFT,2024-10-25 04:00:00,426.76,428.15,432.52,426.565
MSFT,2024-10-28 04:00:00,431.655,426.59,431.94,426.3
MSFT,2024-10-29 04:00:00,428.0,431.95,433.17,425.8001
MSFT,2024-10-30 04:00:00,437.435,432.53,438.5,432.1
MSFT,2024-10-31 04:00:00,415.36,406.35,416.16,406.3
MSFT,2024-11-01 04:00:00,409.01,410.37,415.5,407.5
MSFT,2024-11-04 05:00:00,409.8,408.46,410.415,405.5713
MSFT,2024-11-05 05:00:00,408.37,411.46,414.9,408.08
MSFT,2024-11-06 05:00:00,412.42,420.18,420.45,410.52
MSFT,2024-11-07 05:00:00,421.28,425.43,426.85,419.88
MSFT,2024-11-08 05:00:00,425.32,422.54,426.5,421.78
MSFT,2024-11-11 05:00:00,422.515,418.01,424.81,416.0
MSFT,2024-11-12 05:00:00,418.25,423.03,424.44,417.2
MSFT,2024-11-13 05:00:00,421.64,425.2,429.325,418.21
MSFT,2024-11-14 05:00:00,425.0,426.89,428.17,420.0
MSFT,2024-11-15 05:00:00,419.82,415.0,422.8,413.64
MSFT,2024-11-18 05:00:00,414.87,415.76,418.4037,412.1
MSFT,2024-11-19 05:00:00,413.11,417.79,417.94,411.55
MSFT,2024-11-20 05:00:00,416.87,415.49,417.29,410.58
MSFT,2024-11-21 05:00:00,419.5,412.87,419.78,410.2887
MSFT,2024-11-22 05:00:00,411.365,417.0,417.4,411.06
MSFT,2024-11-25 05:00:00,418.38,418.79,421.08,414.85
MSFT,2024-11-26 05:00:00,419.585,427.99,429.0414,418.85
MSFT,2024-11-27 05:00:00,425.105,422.99,427.2299,422.02
MSFT,2024-11-29 05:00:00,420.09,423.46,424.8849,417.8
MSFT,2024-12-02 05:00:00,421.57,430.98,433.0,421.31
MSFT,2024-12-03 05:00:00,429.84,431.2,432.47,427.74
MSFT,2024-12-04 05:00:00,433.03,437.42,439.67,432.63
MSFT,2024-12-05 05:00:00,437.92,442.62,444.66,436.171
MSFT,2024-12-06 05:00:00,442.3,443.57,446.1,441.7703
MSFT,2024-12-09 05:00:00,442.6,446.02,448.33,440.5
MSFT,2024-12-10 05:00:00,444.39,443.33,449.62,441.6
MSFT,2024-12-11 05:00:00,444.05,448.99,450.35,444.05
MSFT,2024-12-12 05:00:00,449.11,449.56,456.1648,449.11
MSFT,2024-12-13 05:00:00,448.435,447.27,451.43,445.58
MSFT,2024-12-16 05:00:00,447.27,451.59,452.18,445.28
MSFT,2024-12-17 05:00:00,451.01,454.46,455.29,449.57
MSFT,2024-12-18 05:00:00,451.32,437.39,452.65,437.02
MSFT,2024-12-19 05:00:00,441.62,437.03,443.1834,436.32
MSFT,2024-12-20 05:00:00,433.11,436.6,443.74,428.63
MSFT,2024-12-23 05:00:00,436.74,435.25,437.65,432.83
MSFT,2024-12-24 05:00:00,434.65,439.33,439.6,434.19
MSFT,2024-12-26 05:00:00,439.08,438.11,440.94,436.63
MSFT,2024-12-27 05:00:00,434.6,430.53,435.22,426.35
MSFT,2024-12-30 05:00:00,426.06,424.83,427.55,421.9
MSFT,2024-12-31 05:00:00,426.1,421.5,426.73,420.66
